workout_id,start_time,end_time,exercise_index,exercise_title,exercise_notes,set_index,set_weight_lbs,set_reps,workout_type,volume,workout_duration,weight_score
352c2f17-ab2d-4efe-99f4-3e90420336a0,2025-07-23 17:09:12-04,2025-07-23 17:59:31-04,1,Chest Fly (Machine),,1,200.03,8,Push,1600.24,50.32,-0.7
031045ad-7b23-4881-8185-bfe52415b5d7,2025-07-16 14:55:27-04,2025-07-16 15:49:53-04,1,Chest Fly (Machine),,0,200.03,8,Upper,1600.24,54.43,-0.7
031045ad-7b23-4881-8185-bfe52415b5d7,2025-07-16 14:55:27-04,2025-07-16 15:49:53-04,1,Chest Fly (Machine),,1,200.03,7,Upper,1400.21,54.43,-0.7
f8d37e0d-e78b-4813-87ea-11dfd8fc50ba,2025-07-06 17:43:22-04,2025-07-06 18:33:23-04,2,Chest Fly (Machine),,0,200.03,10,Push,2000.3,50.02,-0.7
f8d37e0d-e78b-4813-87ea-11dfd8fc50ba,2025-07-06 17:43:22-04,2025-07-06 18:33:23-04,2,Chest Fly (Machine),,1,200.03,8,Push,1600.24,50.02,-0.7
57ef41cb-a0ea-4808-a23c-0b363ef7051e,2025-07-03 14:52:52-04,2025-07-03 15:53:08-04,3,Chest Fly (Machine),,0,200.03,9,Upper,1800.27,60.27,-0.7
57ef41cb-a0ea-4808-a23c-0b363ef7051e,2025-07-03 14:52:52-04,2025-07-03 15:53:08-04,3,Chest Fly (Machine),,1,200.03,7,Upper,1400.21,60.27,-0.7
060da2a3-f3fa-403a-bb0d-6d3060954aa9,2025-06-29 12:40:02-04,2025-06-29 13:35:42-04,5,Chest Fly (Machine),,0,200.03,8,Push,1600.24,55.67,-0.7
060da2a3-f3fa-403a-bb0d-6d3060954aa9,2025-06-29 12:40:02-04,2025-06-29 13:35:42-04,5,Chest Fly (Machine),,1,200.03,7,Push,1400.21,55.67,-0.7
5737d910-5a0c-470f-9b9c-b90906cadf18,2025-06-18 11:32:13-04,2025-06-18 12:43:12-04,6,Chest Fly (Machine),,0,205.04,8,Upper,1640.32,70.98,-0.35
5737d910-5a0c-470f-9b9c-b90906cadf18,2025-06-18 11:32:13-04,2025-06-18 12:43:12-04,6,Chest Fly (Machine),,1,200.03,6,Upper,1200.18,70.98,-0.7
3309f7c6-73e2-4f69-b530-42f91fefc609,2025-06-06 16:19:59-04,2025-06-06 17:13:34-04,5,Chest Fly (Machine),,0,200.03,7,Push,1400.21,53.58,-0.7
3309f7c6-73e2-4f69-b530-42f91fefc609,2025-06-06 16:19:59-04,2025-06-06 17:13:34-04,5,Chest Fly (Machine),,1,200.03,6,Push,1200.18,53.58,-0.7
626897e0-d72e-4b99-b5c6-dc03d6d4bf7d,2025-05-07 17:34:15-04,2025-05-07 18:31:56-04,4,Chest Fly (Machine),,0,215.04,6,Push,1290.24,57.68,0.35
626897e0-d72e-4b99-b5c6-dc03d6d4bf7d,2025-05-07 17:34:15-04,2025-05-07 18:31:56-04,4,Chest Fly (Machine),,1,205.04,6,Push,1230.24,57.68,-0.35
f2cb3781-48e6-43a0-bdab-15f06e565735,2025-04-30 16:14:20-04,2025-04-30 17:00:11-04,4,Chest Fly (Machine),,0,220.04,7,Push,1540.28,45.85,0.7
f2cb3781-48e6-43a0-bdab-15f06e565735,2025-04-30 16:14:20-04,2025-04-30 17:00:11-04,4,Chest Fly (Machine),,1,207.54,7,Push,1452.78,45.85,-0.18
1c314327-be04-43ca-9516-d25c9173ab11,2025-04-25 12:32:36-04,2025-04-25 13:34:19-04,4,Chest Fly (Machine),,0,220.04,6,Upper,1320.24,61.72,0.7
1c314327-be04-43ca-9516-d25c9173ab11,2025-04-25 12:32:36-04,2025-04-25 13:34:19-04,4,Chest Fly (Machine),,1,207.54,7,Upper,1452.78,61.72,-0.18
3ba8571a-3249-4a3d-971d-eab985439fb1,2025-04-22 16:04:50-04,2025-04-22 17:07:36-04,7,Chest Fly (Machine),,0,207.54,10,Upper,2075.4,62.77,-0.18
3ba8571a-3249-4a3d-971d-eab985439fb1,2025-04-22 16:04:50-04,2025-04-22 17:07:36-04,7,Chest Fly (Machine),,1,207.54,7,Upper,1452.78,62.77,-0.18
ba8f65db-60b9-4e40-84d7-f2a2dbd6a4db,2025-04-17 14:05:45-04,2025-04-17 15:08:45-04,7,Chest Fly (Machine),,0,207.54,10,Upper,2075.4,63.0,-0.18
ba8f65db-60b9-4e40-84d7-f2a2dbd6a4db,2025-04-17 14:05:45-04,2025-04-17 15:08:45-04,7,Chest Fly (Machine),,1,207.54,6,Upper,1245.24,63.0,-0.18
7828d949-7efc-489a-ab60-6bea3f10a021,2025-04-10 13:43:40-04,2025-04-10 14:40:43-04,4,Chest Fly (Machine),no rib compression,0,207.54,8,Upper,1660.32,57.05,-0.18
7828d949-7efc-489a-ab60-6bea3f10a021,2025-04-10 13:43:40-04,2025-04-10 14:40:43-04,4,Chest Fly (Machine),no rib compression,1,207.54,6,Upper,1245.24,57.05,-0.18
54aca8a4-d49a-4527-9868-538124e6f857,2025-04-03 13:56:11-04,2025-04-03 14:41:02-04,5,Chest Fly (Machine),,0,205.04,8,Upper,1640.32,44.85,-0.35
54aca8a4-d49a-4527-9868-538124e6f857,2025-04-03 13:56:11-04,2025-04-03 14:41:02-04,5,Chest Fly (Machine),,1,205.04,7,Upper,1435.28,44.85,-0.35
9426cafe-7c28-4a47-9143-35526b0607c0,2025-03-24 15:16:58-04,2025-03-24 16:14:33-04,3,Chest Fly (Machine),No rib compression,0,200.03,8,Upper,1600.24,57.58,-0.7
9426cafe-7c28-4a47-9143-35526b0607c0,2025-03-24 15:16:58-04,2025-03-24 16:14:33-04,3,Chest Fly (Machine),No rib compression,1,200.03,6,Upper,1200.18,57.58,-0.7
fd1bc5be-917d-4a6a-8a43-5366e2172003,2025-03-10 16:01:24-04,2025-03-10 17:07:33-04,1,Chest Fly (Machine),,0,227.54,7,Upper,1592.78,66.15,1.23
fd1bc5be-917d-4a6a-8a43-5366e2172003,2025-03-10 16:01:24-04,2025-03-10 17:07:33-04,1,Chest Fly (Machine),,1,227.54,6,Upper,1365.24,66.15,1.23
483a421b-9fa9-4336-a7b8-d386d684702f,2025-03-03 15:28:40-05,2025-03-03 16:16:56-05,6,Chest Fly (Machine),,0,235.04,6,Upper,1410.24,48.27,1.76
be6988bf-2081-4463-a8ff-394a7da74e15,2025-02-22 16:27:25-05,2025-02-22 17:26:13-05,1,Chest Fly (Machine),,0,235.04,6,Upper,1410.24,58.8,1.76
be6988bf-2081-4463-a8ff-394a7da74e15,2025-02-22 16:27:25-05,2025-02-22 17:26:13-05,1,Chest Fly (Machine),,1,235.04,4,Upper,940.16,58.8,1.76
f6aefe97-56cc-4688-9f13-e4edd09231f3,2025-02-12 14:41:47-05,2025-02-12 15:43:05-05,1,Chest Fly (Machine),,0,235.04,6,Upper,1410.24,61.3,1.76
f6aefe97-56cc-4688-9f13-e4edd09231f3,2025-02-12 14:41:47-05,2025-02-12 15:43:05-05,1,Chest Fly (Machine),,1,235.04,5,Upper,1175.2,61.3,1.76
2d54bf07-097b-41dd-a27b-d861556acef0,2025-02-06 13:38:02-05,2025-02-06 14:35:12-05,1,Chest Fly (Machine),,0,230.04,7,Upper,1610.28,57.17,1.4
2d54bf07-097b-41dd-a27b-d861556acef0,2025-02-06 13:38:02-05,2025-02-06 14:35:12-05,1,Chest Fly (Machine),,1,230.04,5,Upper,1150.2,57.17,1.4
1f960d11-0748-47cd-a732-1dd2a485303b,2025-02-04 16:19:13-05,2025-02-04 17:19:49-05,1,Chest Fly (Machine),,0,230.04,6,Upper,1380.24,60.6,1.4
1f960d11-0748-47cd-a732-1dd2a485303b,2025-02-04 16:19:13-05,2025-02-04 17:19:49-05,1,Chest Fly (Machine),,1,225.04,5,Upper,1125.2,60.6,1.05
636b1e15-5096-4dca-8579-01e52b6bdfaf,2025-01-31 15:35:25-05,2025-01-31 16:40:52-05,1,Chest Fly (Machine),,0,230.04,6,Upper,1380.24,65.45,1.4
636b1e15-5096-4dca-8579-01e52b6bdfaf,2025-01-31 15:35:25-05,2025-01-31 16:40:52-05,1,Chest Fly (Machine),,1,230.04,4,Upper,920.16,65.45,1.4
0aba088b-7a7c-4be4-8c2f-4df7f44d8ba4,2025-01-28 16:31:36-05,2025-01-28 17:34:21-05,1,Chest Fly (Machine),,0,227.54,8,Upper,1820.32,62.75,1.23
0aba088b-7a7c-4be4-8c2f-4df7f44d8ba4,2025-01-28 16:31:36-05,2025-01-28 17:34:21-05,1,Chest Fly (Machine),,1,227.54,6,Upper,1365.24,62.75,1.23
